40 800
-34 -16 26 
1 -12 24 
-21 -16 29 
-38 5 -8 
33 -23 -22 
18 2 -22 
24 -27 37 
15 -25 11 
18 2 11 
-40 28 -3 
2 -21 28 
-17 14 15 
-3 -21 2 
-17 26 18 
6 -38 11 
-19 32 -12 
36 -21 6 
39 10 -17 
9 -12 -23 
-16 29 28 
-20 24 26 
4 36 -22 
-34 26 -7 
10 -3 -22 
-23 9 28 
-3 -20 -8 
29 9 33 
-34 -7 35 
6 -27 37 
-13 -16 -20 
26 -17 -40 
9 28 -22 
-22 5 -8 
-17 -27 -8 
-16 5 9 
10 29 1 
-7 6 28 
9 -23 -8 
37 -23 -34 
-12 37 28 
26 24 5 
-21 -34 2 
-7 -25 26 
-20 -16 -25 
28 1 35 
9 9 -12 
26 5 4 
26 -23 -21 
-16 11 9 
36 -34 29 
1 -31 -3 
-21 28 -17 
-20 37 -16 
33 -40 28 
14 4 -12 
-20 35 -31 
-17 -27 29 
-25 35 36 
9 -7 6 
6 -25 -38 
33 2 28 
15 1 11 
-16 2 39 
-7 24 28 
-27 -40 36 
14 10 6 
18 24 26 
9 -3 -8 
32 2 28 
11 -22 -23 
-8 -19 30 
28 -20 30 
1 2 -13 
35 -12 -38 
10 32 11 
18 -8 33 
-3 -8 -16 
36 36 -17 
35 37 32 
26 -23 10 
-3 32 -17 
-16 -38 -8 
24 36 -38 
26 15 18 
-40 36 9 
6 32 1 
5 9 -25 
14 -13 -13 
39 32 4 
35 18 -40 
-12 11 6 
-34 -31 -34 
-40 35 37 
-40 32 -21 
-23 -3 39 
28 -22 28 
-19 -34 -13 
1 -27 32 
24 4 -13 
-16 -13 11 
5 15 -40 
39 -34 14 
10 24 32 
36 37 -13 
-31 33 -23 
-12 4 -38 
-40 -38 -40 
6 4 2 
9 -3 1 
24 -19 -25 
-7 -34 -12 
-19 11 -8 
26 -12 9 
9 -22 11 
-8 32 33 
-38 4 15 
5 5 -13 
-12 28 -20 
36 -34 -3 
5 4 18 
-20 2 24 
33 -7 -8 
4 29 10 
-20 -38 -31 
-34 28 30 
-27 -31 6 
29 -12 15 
-27 32 -17 
-22 10 -7 
14 5 -31 
32 -27 39 
2 4 28 
29 1 -40 
-8 15 4 
-20 -40 -20 
-31 2 18 
35 29 24 
14 6 -27 
2 -25 14 
39 32 -7 
18 -25 15 
-31 28 39 
-38 -8 26 
-23 -25 1 
9 -25 36 
-12 39 28 
-16 33 -8 
9 18 37 
-27 15 18 
37 36 37 
1 -23 9 
-31 -40 -21 
33 -12 -27 
-12 32 39 
-12 24 -8 
-20 1 10 
-3 18 9 
18 -25 36 
26 14 28 
6 -34 -13 
-21 24 -34 
28 2 5 
-21 4 26 
36 6 -25 
-7 24 28 
36 -19 -25 
-7 -13 18 
33 -3 35 
-20 30 35 
39 -25 26 
11 35 -3 
30 15 -19 
-27 -23 26 
6 32 -8 
32 4 28 
11 39 1 
-7 -8 33 
-19 10 -23 
6 -40 -34 
35 1 36 
5 -16 10 
-34 -31 37 
-31 -16 2 
-16 -22 18 
18 4 11 
-16 36 26 
10 15 -16 
-8 10 5 
18 15 14 
29 37 15 
-34 10 28 
30 -34 1 
36 -3 -27 
-38 39 -16 
-12 18 -22 
24 -17 4 
-21 -25 36 
-34 28 11 
26 -31 2 
-7 -25 -40 
29 29 11 
36 24 -22 
2 15 -25 
14 36 9 
4 29 -22 
-3 -25 30 
11 -12 5 
-12 29 -20 
-7 4 -34 
35 -40 -20 
28 14 -13 
-27 18 9 
-8 14 15 
-21 14 -20 
11 33 15 
11 -23 -23 
-3 -17 -34 
-23 18 -22 
36 39 -25 
-22 -20 32 
32 -7 24 
14 -16 18 
-20 -20 -40 
37 -25 -16 
35 26 -19 
4 39 -40 
-38 -23 10 
15 24 -38 
11 5 9 
-27 -8 -31 
26 -13 -8 
-12 -34 -25 
18 35 26 
-23 9 -12 
37 15 14 
2 -3 28 
-27 18 29 
-19 -21 6 
-25 -34 9 
1 -21 -16 
33 -3 -20 
-13 10 -21 
-16 -7 -23 
9 28 -38 
4 24 -27 
35 37 -8 
-31 24 9 
9 2 24 
-22 28 -16 
9 4 -17 
24 -34 10 
9 -3 24 
36 6 33 
-23 6 -22 
-20 5 -8 
-40 36 -19 
-8 -13 -25 
28 2 37 
29 15 -8 
9 -17 11 
9 -22 -27 
36 -27 1 
32 -12 4 
30 37 -17 
2 -12 -31 
24 -13 -21 
39 36 33 
36 9 6 
6 -13 -7 
-34 -25 -3 
30 30 -13 
-40 -40 -25 
-23 32 -22 
15 -7 35 
11 -12 39 
-13 29 4 
-8 14 -3 
18 6 -17 
-22 32 11 
33 10 28 
29 15 -22 
-13 -8 35 
-23 10 15 
30 -40 18 
-22 -12 24 
35 11 33 
18 15 39 
1 -19 -17 
35 -7 -34 
-13 32 1 
-40 32 4 
39 29 10 
