160 3200
12 -70 -42 
122 -87 -63 
-140 -33 27 
-73 -137 46 
-82 102 -70 
-119 -59 -133 
13 2 -107 
15 156 -33 
66 156 48 
-95 -133 115 
41 -11 -47 
35 -99 160 
-59 -16 -148 
149 71 -10 
156 150 -147 
15 -121 -104 
-133 89 160 
-47 149 -14 
-24 12 -114 
67 111 29 
-141 4 -34 
64 -159 -17 
125 -95 -37 
-82 151 102 
57 -114 -104 
102 -28 -123 
-30 -53 -7 
27 -159 125 
-37 -85 126 
-97 48 -82 
92 122 38 
-70 48 27 
160 -16 -8 
-123 -96 29 
45 51 -85 
134 -96 35 
48 4 93 
100 -105 -140 
-23 67 146 
-127 13 93 
-17 21 -154 
35 134 -109 
-106 -5 46 
3 -118 149 
93 29 122 
76 -72 27 
-37 -77 -73 
-84 155 31 
143 146 15 
60 22 78 
126 -116 31 
94 -54 -23 
-81 -52 71 
145 111 90 
35 149 18 
65 -77 -141 
19 115 143 
51 -86 32 
-24 145 -159 
-87 45 102 
-39 144 2 
60 41 143 
13 29 -99 
-114 -159 143 
-49 -109 110 
-152 71 -119 
144 -152 60 
-59 45 -152 
66 45 55 
32 -17 31 
160 -95 64 
-11 -81 100 
138 -129 -147 
111 108 150 
38 -123 71 
-147 101 -136 
55 -8 125 
4 90 20 
91 115 -124 
94 157 31 
-136 51 26 
-105 55 21 
51 27 126 
-44 -33 -30 
21 -7 65 
-154 -99 -75 
126 -135 138 
-120 51 -61 
-128 -14 45 
56 4 112 
98 -96 117 
67 -11 -120 
60 -159 -136 
-40 32 -158 
93 -39 -142 
126 -52 -120 
-17 -30 26 
-84 -75 144 
-118 18 -141 
-53 89 32 
122 -159 155 
18 -61 -158 
112 -147 -95 
-105 126 15 
-80 21 2 
-137 -129 -53 
-139 134 83 
-147 -154 -95 
93 3 122 
31 -58 -1 
92 2 93 
92 -82 64 
83 36 112 
111 91 -69 
-97 -106 -58 
-139 -34 -49 
71 3 156 
-68 -82 92 
-61 91 126 
-139 150 -72 
-75 3 151 
-137 22 112 
93 160 -133 
55 125 -14 
-80 76 -37 
-158 35 126 
-68 -28 -137 
-114 71 12 
144 -148 160 
130 -79 -72 
-28 -1 93 
146 -79 4 
92 -139 -118 
-105 125 6 
110 143 -128 
-25 -123 125 
41 -121 -24 
-109 138 38 
122 -33 21 
60 32 111 
125 -23 108 
89 -159 -30 
-104 -42 -37 
-152 -17 -17 
2 3 -123 
-39 -137 -1 
125 -95 43 
-10 -139 -95 
126 -152 57 
-58 -69 -120 
-84 65 -140 
50 -33 55 
-139 122 -74 
143 153 -141 
-74 146 -86 
-119 -104 66 
-86 48 -14 
-107 -69 155 
115 -154 -81 
67 31 32 
-158 13 -127 
155 145 138 
156 -87 -127 
108 -128 90 
76 -47 19 
36 -123 76 
110 31 -39 
-140 60 89 
-70 -30 112 
78 146 -147 
-107 160 90 
51 -104 -114 
50 -74 -34 
15 41 -37 
-16 -44 138 
-8 76 2 
6 -140 64 
-87 -127 -159 
92 55 131 
-142 -61 31 
-14 144 -119 
160 -7 -141 
-109 -63 -40 
-114 -103 76 
45 -77 -127 
-5 64 19 
126 92 -47 
-105 38 -87 
-34 -34 -69 
43 93 -77 
-95 92 41 
57 -148 -58 
-118 38 146 
83 130 48 
100 -16 48 
138 -97 115 
-106 46 130 
36 134 67 
93 115 15 
-8 78 -104 
12 45 146 
26 -104 -49 
-152 51 100 
112 57 18 
-142 -133 117 
-133 150 -154 
12 -74 146 
56 108 26 
155 65 -33 
-37 145 -24 
-74 -34 131 
-37 89 -49 
-34 -105 -154 
2 -139 100 
-14 21 46 
102 18 -53 
62 -123 155 
32 -104 98 
-17 78 143 
22 -127 57 
89 157 -142 
157 3 -70 
3 -23 27 
-58 -114 -47 
-158 43 41 
64 -123 -16 
122 26 41 
-105 -47 -123 
-52 151 -85 
-124 -148 -34 
-154 -142 93 
-127 43 112 
-137 -42 130 
32 -152 -25 
-16 -24 29 
110 -141 -14 
-114 -16 -53 
108 92 156 
-34 115 102 
93 -77 60 
102 6 146 
46 -28 -72 
-53 -7 -34 
-81 46 113 
-95 22 -96 
-8 -74 35 
145 94 -53 
-8 -96 -159 
71 -52 36 
64 -136 -23 
-148 -54 -7 
-40 -121 -75 
-80 -121 90 
101 -136 46 
4 108 138 
18 110 56 
111 -5 143 
146 92 3 
46 -25 65 
-34 -63 -1 
-107 13 134 
150 -132 155 
-141 62 98 
46 57 -152 
-5 126 -88 
43 160 149 
-49 -10 -136 
-136 48 -72 
27 -139 -33 
-106 -34 98 
-11 -75 -104 
76 20 -75 
76 -121 145 
-70 -121 -96 
-70 -1 -99 
-132 149 60 
-34 98 -44 
-141 -152 -148 
-120 -11 145 
115 151 51 
-74 -68 89 
134 94 83 
-152 -159 93 
-75 -42 155 
-109 21 91 
-120 -7 -141 
-159 98 -159 
130 -1 150 
-42 -14 -80 
-68 31 31 
35 -17 -132 
55 48 153 
90 -84 -40 
-105 -11 -120 
98 -95 94 
-85 90 2 
-123 -158 -14 
-58 -86 -39 
-63 145 -95 
18 -139 -52 
125 -86 9 
-114 -11 131 
-152 -118 -135 
15 110 -139 
45 -127 -5 
32 -75 151 
56 -107 -109 
93 -23 -124 
57 38 -73 
26 -82 -28 
-121 150 146 
-119 65 -49 
-82 -103 29 
-159 -148 3 
35 60 -128 
150 -109 12 
-121 -58 -14 
156 108 -97 
-42 45 21 
149 151 -128 
153 -152 101 
-8 89 93 
130 -34 66 
-140 146 -127 
-75 153 22 
-49 -30 22 
153 146 -14 
48 -127 -24 
-128 -39 -88 
149 -74 89 
71 143 138 
-87 -132 43 
-140 -127 45 
113 -58 115 
-52 62 56 
-74 12 -96 
64 -52 -97 
91 -132 -121 
15 -25 125 
-16 -80 -128 
-52 -128 35 
12 -158 -42 
-10 -53 -1 
78 78 -123 
143 -109 35 
-53 6 115 
-132 20 -80 
-107 48 19 
50 134 65 
-17 31 60 
-74 110 -58 
62 -80 117 
-105 -159 151 
50 151 155 
92 3 115 
160 76 35 
125 108 93 
146 -118 15 
-84 46 66 
112 91 83 
-141 111 -5 
18 112 93 
-61 156 71 
35 -28 64 
67 -61 -40 
36 -87 125 
-37 62 -70 
151 143 22 
67 26 -114 
-74 -159 115 
111 36 15 
-103 -16 2 
-77 98 19 
-16 157 -107 
149 149 -54 
-97 -49 89 
-123 130 -128 
115 -136 -127 
-133 -95 93 
-7 -136 20 
131 12 -140 
-152 -52 155 
29 -68 -5 
94 157 138 
13 -39 138 
41 144 -23 
-123 -16 60 
145 -34 134 
-147 26 -121 
62 112 -84 
71 113 91 
71 -120 -135 
-59 -114 29 
55 -81 -135 
-70 -25 131 
-52 51 -88 
-87 -129 -74 
-11 -1 -59 
9 19 -17 
111 -118 155 
-68 -86 35 
-99 -37 -105 
-148 -140 -80 
3 150 110 
-137 -123 -136 
18 -106 55 
-68 122 71 
21 -54 -116 
-1 -141 -158 
-54 -121 115 
138 48 -129 
-86 -128 -73 
-70 -70 -158 
-154 78 100 
100 131 -99 
90 83 -132 
-82 -52 -17 
15 -142 -95 
-105 130 3 
-139 117 -16 
-107 -142 83 
143 93 -44 
-25 62 45 
90 65 -44 
-121 143 12 
-72 -136 -14 
-141 156 -116 
150 102 57 
117 -16 71 
65 -1 -33 
-106 -53 20 
2 -140 20 
144 -37 -133 
-84 -37 22 
4 -72 20 
-129 115 4 
-137 78 -107 
-53 -114 26 
50 41 -81 
-1 -30 146 
153 -104 64 
126 -104 6 
-16 -23 35 
-28 48 38 
111 108 -30 
-39 13 -72 
-103 94 145 
55 55 -5 
15 -70 -68 
-97 -147 26 
138 89 18 
-11 134 -30 
-152 67 149 
-34 46 31 
-141 93 138 
38 19 -123 
143 -159 -81 
43 -121 -142 
-58 56 -136 
110 -142 -8 
-77 -136 -73 
-121 -147 -106 
2 66 6 
-95 -86 146 
55 -114 60 
-103 100 -44 
153 -80 51 
130 -75 100 
-114 3 94 
18 110 -85 
-70 -44 -123 
20 -96 100 
18 -49 -106 
41 -127 143 
9 112 9 
-42 46 51 
-85 110 126 
-68 -34 -88 
-129 -80 -8 
-104 -119 -147 
48 -86 -88 
-59 -24 4 
102 -105 -87 
101 111 -70 
-123 -107 4 
91 -147 90 
-5 -61 -154 
153 4 9 
22 110 122 
56 -69 -159 
67 101 -63 
131 36 130 
-121 -109 -53 
-121 -74 -1 
83 -58 15 
-159 -68 117 
21 66 57 
110 55 -128 
36 -10 -70 
46 -147 78 
-105 43 50 
-132 -54 -154 
-118 -5 126 
64 111 55 
146 -10 117 
-104 56 -119 
-124 155 150 
-54 -61 151 
-14 -148 -123 
-119 12 -88 
-147 98 78 
-59 48 -25 
144 93 50 
3 -142 76 
56 -136 -97 
-86 9 22 
-10 -118 -120 
71 -68 31 
-139 101 117 
89 93 -118 
-73 89 -124 
-68 65 -127 
-73 45 131 
-99 -103 15 
-73 76 62 
157 -1 22 
-136 112 -59 
-119 -127 -5 
15 -81 64 
-63 71 -75 
92 2 160 
50 144 83 
-118 -30 29 
45 -141 -82 
-5 -52 -128 
-123 -103 -28 
56 62 156 
64 -137 -85 
-10 -136 151 
93 -59 -5 
83 153 64 
92 -85 160 
62 -47 -103 
-158 -72 111 
-16 91 -10 
26 101 -88 
125 -11 -120 
145 -97 -68 
90 144 -120 
89 -30 -28 
108 -120 46 
-7 156 -68 
-142 -25 -88 
-119 65 -85 
101 83 -158 
-11 91 -124 
113 151 76 
98 94 -69 
-135 138 -137 
108 100 -28 
143 -104 150 
160 -154 -44 
-52 36 -54 
-142 -106 43 
138 -52 9 
-68 -118 -69 
50 29 64 
-88 -10 -154 
43 9 151 
-49 -137 -70 
2 31 71 
-109 -141 -14 
-68 71 -80 
64 -142 146 
-37 -123 -81 
-58 -81 -137 
-103 -59 -52 
-69 -132 56 
101 -152 65 
-137 143 -106 
-34 -104 48 
19 -85 101 
38 91 -52 
-106 -96 -97 
-30 31 64 
-129 -124 -11 
-137 -88 -5 
19 26 -37 
-147 48 -127 
43 130 -14 
43 -124 -136 
-140 -82 -154 
-116 38 -73 
130 20 -75 
89 -159 117 
-121 -142 -123 
102 22 -105 
-59 125 -7 
15 83 -17 
27 -120 144 
56 3 -132 
56 57 12 
110 6 -132 
-104 -140 -44 
-124 -99 64 
156 -142 -44 
65 -14 15 
-104 51 131 
-75 21 -47 
57 89 56 
18 -77 -69 
150 35 38 
-129 -116 -147 
2 117 -99 
2 31 20 
32 64 -81 
145 -106 48 
111 93 -69 
98 146 21 
-147 130 150 
143 38 -25 
-84 -8 -52 
122 4 51 
-47 108 -75 
-118 -5 -80 
3 -28 22 
-53 -63 20 
-158 -33 4 
50 -82 18 
-47 115 78 
131 18 31 
56 -53 18 
108 -97 91 
-139 20 -116 
-124 -47 150 
-140 -103 -154 
146 146 -136 
-54 -109 18 
3 76 -154 
-59 -47 31 
15 -127 -8 
-44 -135 -85 
-132 -44 41 
-84 -159 35 
-39 115 13 
50 -141 -30 
-135 -1 -14 
-124 29 -77 
-81 -73 -28 
2 -42 145 
-136 108 94 
35 -49 108 
-1 101 -132 
-80 83 -154 
62 -73 32 
45 125 -133 
-87 -141 62 
-49 -141 -39 
-11 -140 117 
-133 -128 115 
144 20 -135 
-30 4 -137 
-109 -10 -107 
94 -147 48 
13 138 26 
-44 108 27 
130 144 93 
146 -7 -70 
35 130 144 
113 117 160 
98 143 -103 
19 -49 -23 
130 -105 65 
-133 -86 15 
-58 -7 -69 
-103 -1 76 
-58 48 122 
64 57 -88 
156 35 65 
-123 -132 -121 
-97 -119 -104 
-49 153 122 
-10 -121 -14 
-47 -34 157 
83 -137 -159 
130 4 41 
36 -107 -159 
83 -72 64 
56 90 -47 
26 -84 -84 
-136 -10 -139 
153 108 83 
-87 126 117 
-79 111 -85 
-141 -105 130 
-135 -82 146 
4 -72 -14 
-34 -42 126 
-16 -68 -139 
-59 4 -8 
-68 110 -39 
13 -73 -114 
-148 31 -74 
-152 -88 -59 
89 -147 145 
157 -52 -53 
-11 32 2 
115 -136 -58 
-73 76 36 
-103 -7 146 
-24 65 -39 
143 -137 29 
-7 155 32 
-114 134 122 
-136 65 -154 
-142 -85 45 
149 -84 -49 
146 -49 -54 
-84 -114 115 
126 9 67 
-34 110 32 
-63 -85 -59 
-132 -132 -121 
-77 -34 -59 
-14 89 -37 
-132 46 13 
-95 20 64 
-58 -63 -140 
-30 -11 32 
-159 145 38 
-121 -44 138 
-103 32 -52 
131 -74 -129 
134 -87 144 
-61 -23 -42 
108 -28 -52 
29 -99 27 
-114 -14 -63 
-135 -119 -16 
-24 122 46 
-70 -25 62 
90 83 115 
-137 -88 143 
38 48 -123 
-34 125 153 
-47 -132 151 
66 -8 91 
130 62 -133 
126 36 102 
50 -14 -63 
138 60 -121 
-80 89 145 
57 93 -95 
15 -68 46 
-81 -133 150 
-120 -24 35 
-80 62 21 
-159 89 -52 
-148 -132 -52 
-16 157 -52 
-39 45 143 
-116 -85 157 
-16 41 -7 
93 48 12 
92 46 -79 
-133 -61 4 
-40 83 50 
115 -8 -121 
145 -28 35 
153 60 -158 
-158 -25 89 
13 -148 2 
157 145 -133 
51 131 41 
89 4 66 
-23 -59 2 
-103 22 60 
111 62 46 
-61 50 67 
-69 -103 160 
-135 -74 -97 
46 -154 -96 
-61 -16 -30 
-77 71 -136 
149 -11 -74 
156 -49 -107 
-154 27 -59 
-16 -80 144 
83 125 50 
9 108 122 
115 -68 126 
45 -97 -49 
83 -109 -7 
-158 83 50 
130 -87 -42 
-47 65 113 
94 -11 67 
60 -79 -135 
-84 -54 -139 
-103 -24 65 
-109 111 -47 
-137 27 18 
143 4 -17 
83 -5 145 
22 94 -47 
-16 -42 -69 
35 93 -104 
-152 -97 153 
-84 -11 -52 
-86 -142 117 
117 -103 6 
-72 -87 -11 
76 -73 -158 
-127 -147 15 
-33 -84 46 
-147 138 -123 
-75 -10 -80 
-85 3 101 
-17 9 126 
78 -95 125 
-70 146 -135 
4 -63 125 
-72 4 -137 
131 126 144 
51 32 146 
151 6 -140 
-107 -28 -132 
36 78 -96 
-11 -49 26 
-132 65 71 
115 100 64 
-39 -75 134 
160 -109 -74 
-54 -158 -77 
-73 83 -81 
-59 -34 -105 
-140 -23 -127 
-129 -123 -118 
-123 156 -105 
-120 65 -23 
-47 157 -8 
-58 101 71 
-139 113 -82 
-33 111 -34 
93 -104 -17 
22 94 -72 
-17 -84 157 
66 4 93 
62 -8 -24 
-104 -127 -44 
-30 27 -132 
160 36 -84 
3 150 -44 
78 -154 55 
21 -118 153 
-74 26 71 
45 -135 -10 
2 -30 149 
4 125 112 
101 92 -118 
71 51 126 
4 145 -25 
93 51 126 
100 149 -61 
-95 78 155 
-85 66 138 
143 60 65 
-8 -84 66 
21 149 -17 
-114 -124 -17 
-72 -23 51 
-52 35 156 
117 -25 92 
15 15 -119 
-16 -23 19 
65 94 -116 
31 -11 29 
78 31 -119 
89 -80 12 
144 108 9 
2 94 -81 
-79 -154 -30 
31 -140 -75 
21 156 -58 
-152 6 -129 
-159 90 66 
27 -84 36 
-34 144 -84 
125 -59 -148 
27 -37 111 
-109 -116 -10 
-129 45 3 
91 83 -1 
145 111 -133 
-61 -105 -116 
27 -159 36 
157 -1 -42 
112 -10 160 
43 -84 -96 
64 -42 -33 
146 134 51 
-58 29 126 
-52 9 -10 
-116 -34 102 
89 4 -119 
57 -103 -129 
110 117 -95 
78 66 111 
138 46 146 
-127 -119 9 
-11 36 -52 
12 -147 3 
62 157 -105 
-74 -141 -152 
-1 -135 41 
38 -87 146 
-72 26 -154 
-33 98 -69 
64 -40 -123 
94 -52 -23 
-139 149 -109 
22 -42 -53 
48 -107 -82 
-140 -82 -82 
45 60 -70 
-132 130 56 
13 21 -140 
150 101 -24 
130 143 -81 
-82 -30 36 
-106 60 -95 
-123 -95 43 
-116 -82 41 
-72 12 71 
13 71 150 
9 76 -23 
101 36 91 
20 -79 -121 
-25 -58 156 
-116 22 -25 
-121 -59 131 
-107 -107 160 
131 60 108 
94 -39 93 
-23 -96 -81 
-37 93 91 
-47 19 -104 
-53 3 92 
112 -77 -88 
-7 51 -104 
-133 29 108 
-133 153 -72 
-40 -10 134 
-28 -74 -104 
-121 4 90 
-68 153 -142 
-74 -63 -79 
130 -24 -103 
-135 92 -25 
6 -103 15 
-59 57 -61 
-59 113 89 
-132 -54 6 
-77 32 41 
134 -120 131 
-47 -63 -25 
113 -84 -132 
12 131 155 
92 110 -97 
27 -118 -39 
-95 64 -107 
149 -80 160 
76 -109 -80 
108 -23 43 
46 146 -17 
-137 151 -158 
48 -135 -119 
-99 3 -96 
-124 130 20 
-123 -72 -109 
160 78 130 
-68 -10 -132 
-124 19 -17 
-106 56 21 
150 -39 62 
-81 -16 -132 
145 -52 22 
45 -10 126 
149 76 113 
-123 108 -132 
111 -95 15 
112 144 -99 
146 -88 -106 
15 -11 -84 
-80 45 -86 
160 -129 -147 
-97 115 -25 
51 93 -42 
-152 90 -69 
-77 66 -70 
101 56 -154 
102 -148 21 
-68 66 -147 
98 144 -124 
93 -154 -152 
113 -104 -142 
110 92 -139 
35 62 102 
-8 57 -5 
12 90 -121 
-39 46 31 
-5 149 -84 
-79 31 -104 
-24 -84 90 
15 -58 -127 
12 -63 -147 
-116 144 126 
-116 -40 -81 
145 -7 -77 
45 94 -133 
113 2 35 
21 -121 -147 
-127 19 -124 
144 143 -7 
-75 -82 -16 
-10 71 51 
21 125 -11 
-42 19 -79 
-39 20 83 
144 155 -23 
-103 -14 -70 
50 6 -133 
-132 57 91 
112 -59 27 
38 -25 -123 
-69 50 -86 
126 26 -147 
146 -136 60 
-16 -132 122 
130 -95 -34 
45 -103 57 
155 -86 122 
-135 -127 102 
146 149 -11 
-136 -30 48 
-154 -72 -37 
-139 111 -139 
78 113 -47 
-47 -61 -59 
67 -133 160 
113 13 15 
2 60 -53 
144 27 76 
-106 -152 60 
76 -133 29 
125 93 -72 
156 -49 -23 
-1 -77 122 
4 27 -152 
108 26 143 
-23 110 -135 
-107 6 94 
62 -40 -116 
100 -142 -11 
32 -86 -14 
-106 91 6 
-142 -139 145 
-109 83 21 
60 -128 -28 
-44 101 55 
-1 55 -129 
-11 122 -1 
41 -142 149 
149 -17 -147 
108 157 -87 
143 113 -16 
-28 -40 112 
-69 -14 -87 
4 145 126 
-142 13 18 
-135 20 -61 
157 -85 90 
