640 12800
-289 9 393 
-505 -571 10 
-209 261 -416 
277 -516 321 
-216 87 -268 
483 -236 500 
-286 -300 -173 
-330 444 -289 
-636 556 -203 
-43 -623 506 
-404 125 540 
310 -333 -211 
277 -93 159 
464 554 449 
-55 69 -537 
507 -140 -526 
60 80 253 
-438 -569 -529 
554 584 351 
232 36 -268 
319 -394 11 
502 42 32 
-1 221 -84 
2 350 -181 
142 361 -488 
76 590 -22 
-301 -349 397 
-546 501 -63 
101 254 129 
76 575 -171 
335 264 -528 
626 -168 -126 
371 190 296 
161 -73 321 
-162 -244 -576 
-33 -495 603 
-247 -529 498 
-236 -433 487 
-63 -384 371 
334 -399 -126 
87 577 -429 
-486 -176 -58 
575 170 432 
80 -431 -136 
-567 -263 -168 
425 344 227 
405 418 -44 
-363 74 -294 
506 351 474 
-115 393 122 
-31 -465 521 
579 524 392 
-278 281 208 
-330 364 -206 
-66 116 -33 
502 425 593 
-128 -231 197 
-289 307 -381 
76 -131 409 
175 463 408 
-130 -589 -424 
228 -192 -73 
453 601 295 
-338 91 581 
-622 -256 497 
-636 -268 -67 
-287 -337 385 
-609 446 -280 
-64 -166 233 
401 -526 630 
156 -553 -22 
125 6 -451 
99 -594 -266 
584 282 -515 
-238 -1 178 
-407 -472 524 
-399 517 227 
-586 215 -61 
-586 535 -94 
2 80 432 
-544 -595 371 
-193 -412 -283 
-230 462 -179 
-267 -438 114 
37 -68 608 
471 -586 -180 
462 -640 -285 
-509 476 502 
-247 -140 99 
413 -313 554 
557 -372 527 
401 425 -546 
156 477 -270 
-315 -193 -532 
580 -154 -316 
-136 557 426 
227 -23 -357 
15 388 -19 
535 132 -637 
95 -333 -594 
470 470 79 
-451 232 -237 
606 138 -323 
-105 -428 325 
-43 449 -22 
269 -435 627 
388 277 377 
310 -187 117 
405 600 -367 
125 -338 -441 
-433 -472 219 
204 -417 178 
-380 350 -512 
-435 519 -399 
-415 -615 78 
117 -316 365 
-516 464 -104 
442 -552 -179 
-489 -391 -174 
-607 322 51 
405 -250 -454 
-168 474 449 
-157 378 -83 
-528 540 48 
400 5 -394 
-169 -205 -265 
492 450 -416 
-1 -472 -289 
74 326 -438 
-553 -39 522 
-83 144 -346 
232 558 -106 
343 -115 584 
-179 -294 -128 
-118 -214 342 
-236 80 455 
49 -55 -599 
-336 -136 630 
170 499 -302 
-548 -85 227 
574 -188 603 
450 -427 87 
307 542 -3 
-440 -399 -247 
539 24 -168 
499 -381 588 
325 264 476 
-309 -136 -55 
42 -31 -66 
426 -17 501 
343 566 -263 
297 -431 -251 
-346 -311 630 
-52 232 -301 
462 36 127 
-65 -548 -238 
-272 -64 -482 
507 389 471 
159 -209 317 
269 8 -422 
-386 -65 -188 
611 -448 -128 
493 425 2 
-59 257 245 
521 317 401 
-123 307 -209 
7 397 24 
8 -560 275 
485 425 597 
405 -420 -604 
76 522 432 
-157 -586 545 
292 -191 405 
-555 -309 405 
-441 269 -417 
-467 -173 233 
259 -214 -209 
-174 233 -223 
-616 -294 -433 
520 403 480 
500 442 111 
487 80 -465 
-559 -272 385 
225 -40 -433 
253 -589 -23 
175 -59 611 
220 182 307 
57 492 -490 
-434 198 -250 
-189 -417 -427 
-192 -609 225 
-568 -191 458 
-548 -131 630 
144 639 -445 
51 100 -551 
-235 450 14 
30 277 296 
-407 -314 -89 
-511 -140 -441 
-607 -613 -166 
99 312 -169 
-136 348 79 
-491 -50 389 
307 463 -27 
143 -609 -516 
461 -131 -508 
474 -28 400 
-283 103 587 
224 -428 322 
228 -81 -107 
71 373 -43 
134 425 -619 
361 -505 460 
574 -550 -486 
204 -370 197 
375 97 -381 
-407 -289 -63 
-440 -589 -347 
-294 -437 348 
-411 -249 259 
-594 -435 12 
388 -271 -255 
-604 397 477 
-19 198 364 
477 397 318 
-21 -199 351 
226 -176 468 
-525 -428 269 
-505 -607 -119 
-479 470 -45 
-332 32 -169 
242 620 257 
60 25 403 
379 -75 446 
71 325 -452 
232 185 506 
-330 -472 261 
204 299 463 
-411 -54 326 
-271 354 -615 
-240 364 -115 
-214 -176 -387 
602 608 -429 
377 617 -155 
-516 138 572 
221 -331 -604 
42 596 -19 
-407 398 -356 
-251 -457 -478 
-616 540 -437 
-108 410 -240 
200 588 111 
-251 -591 -283 
-223 345 -548 
521 -33 -289 
444 -555 11 
588 492 -629 
252 -288 116 
-508 603 397 
485 620 344 
312 163 195 
388 -614 -508 
78 -594 -115 
25 -165 102 
321 275 -465 
581 406 -538 
-315 455 507 
-247 -64 -428 
-466 -416 303 
-516 -609 -209 
-356 -40 -165 
71 608 474 
306 -452 -302 
542 -613 -548 
611 443 -68 
-467 -67 -40 
139 -286 -105 
-599 630 -119 
-263 339 228 
-263 -472 -511 
593 389 408 
419 -340 -33 
471 143 -181 
312 -505 460 
517 112 351 
432 122 -623 
-529 344 -548 
233 -366 -508 
-548 -207 558 
-256 -230 102 
-376 -479 507 
328 -423 383 
501 -515 -560 
-569 -199 -428 
-429 -632 -157 
-174 -466 -166 
-473 -340 260 
-287 261 -366 
-313 167 639 
-415 37 406 
493 -625 -168 
101 -313 -381 
-115 -88 -508 
-561 492 -23 
-39 259 -411 
-45 224 -247 
426 -88 -28 
208 -29 78 
78 273 -89 
-189 101 450 
-489 -43 442 
400 -372 -491 
178 182 227 
-146 -488 -70 
-104 292 24 
11 132 601 
273 -65 -146 
-562 -130 87 
-284 -456 498 
611 477 -482 
334 -211 362 
628 430 -86 
2 -368 374 
15 -494 -205 
402 383 18 
-570 -356 62 
-267 -570 -290 
-551 -441 -280 
-158 610 -59 
-67 -188 101 
485 -165 -615 
-448 -21 -131 
-508 6 -285 
-189 405 -166 
-107 -1 461 
-28 4 447 
608 325 413 
76 -164 543 
-457 -223 371 
-70 -564 -407 
-435 30 358 
-607 343 -434 
540 2 -58 
-123 110 -121 
-136 487 99 
-237 328 563 
-73 -537 304 
-250 -456 398 
-285 116 350 
-45 -216 510 
389 -3 481 
-47 -516 344 
-166 25 487 
221 253 -599 
24 78 510 
-284 545 -613 
258 -229 116 
-381 273 -482 
-614 -181 535 
175 -313 -585 
149 177 15 
-313 282 -54 
393 -286 -202 
-13 241 375 
351 -332 353 
90 276 -619 
510 -249 -359 
-13 221 -512 
-86 25 109 
226 -370 583 
474 215 343 
-135 496 365 
408 -428 388 
-404 -19 -285 
-240 210 -488 
524 430 80 
-267 517 -128 
296 228 611 
-73 261 464 
460 -302 -146 
-315 153 -73 
32 329 353 
111 439 -363 
339 -619 -59 
-564 400 -157 
-585 261 178 
335 -636 354 
182 114 -85 
-465 -366 352 
608 257 339 
60 -333 200 
-151 -486 -555 
-237 543 502 
149 -81 354 
-33 -594 530 
-604 358 -104 
-104 480 492 
-314 -386 450 
513 -315 156 
593 -320 -472 
353 -43 -40 
-452 -29 224 
122 470 -586 
-490 184 122 
273 -216 -119 
593 446 -180 
225 307 -465 
-105 -337 474 
325 -368 186 
143 20 477 
-489 -265 -54 
-313 581 504 
-315 444 -331 
-459 221 8 
98 -349 -272 
-431 87 37 
563 -265 -366 
-370 -152 117 
78 72 -547 
501 603 110 
261 -155 -45 
-629 369 -23 
-538 78 -113 
477 393 329 
257 117 -615 
474 245 -168 
37 339 597 
603 477 -366 
-424 -366 -411 
-482 48 -640 
-235 371 -315 
396 617 -532 
468 -157 239 
-564 -429 -482 
504 539 518 
317 556 -262 
-616 -52 -67 
56 145 110 
-113 572 71 
-50 -473 581 
-488 -3 -183 
-64 474 80 
-422 -31 -445 
342 11 -552 
-532 -416 -171 
-412 -289 -54 
133 579 -475 
-448 -148 -176 
361 343 527 
-509 -509 565 
159 521 -457 
329 186 348 
221 318 -475 
281 -81 -633 
-589 358 -46 
-207 -376 524 
282 -340 439 
-308 -106 -605 
587 -279 471 
-174 -454 602 
195 469 16 
-302 385 610 
163 218 -331 
-148 275 -89 
402 474 405 
335 617 242 
-59 2 -189 
506 327 -515 
-526 557 460 
572 -166 -88 
-311 227 593 
257 -427 -66 
335 -445 -193 
277 201 -505 
-104 430 -516 
114 610 -357 
-206 -331 -331 
458 -529 355 
7 9 -609 
318 -214 -158 
626 213 -164 
-231 493 226 
24 -61 639 
397 -106 406 
484 -316 -290 
-411 -209 -75 
-135 -569 -13 
243 201 -141 
260 587 639 
-427 69 5 
-427 178 540 
156 97 -83 
30 -118 339 
608 103 -94 
-349 246 80 
524 -26 580 
474 -146 524 
76 487 600 
496 143 481 
-311 -256 -279 
-416 74 436 
373 -491 -267 
142 -235 430 
-27 -434 -17 
-166 312 41 
-586 -546 273 
-404 -544 224 
520 117 -211 
-632 204 -235 
608 5 90 
410 156 -435 
161 269 120 
241 -173 -247 
102 -571 -567 
-516 -615 -255 
-336 102 -176 
-58 -569 -431 
177 524 261 
-270 195 277 
96 460 -207 
596 -417 133 
518 345 299 
-586 -199 -623 
233 369 -637 
583 90 4 
-314 502 -298 
312 418 -230 
-311 -570 -146 
20 200 95 
-424 325 408 
501 408 574 
246 -123 379 
-207 132 -615 
258 71 -63 
573 6 -192 
449 -118 80 
603 160 522 
-433 248 334 
-39 210 228 
10 556 506 
587 -311 -486 
362 20 581 
114 -638 -255 
-622 -586 -548 
144 -599 -448 
-155 -526 -589 
377 303 -23 
149 90 -472 
122 -59 573 
413 581 -89 
-157 -206 620 
-293 112 -249 
253 -164 573 
355 -43 295 
374 11 -437 
-45 409 531 
-548 -445 -217 
-427 15 -23 
95 -151 254 
-262 175 -235 
-478 -180 -622 
-238 322 469 
390 -332 353 
476 -316 2 
-511 -268 -237 
-59 76 -73 
215 -599 527 
220 92 -516 
-636 -146 -547 
-216 405 -75 
274 178 -592 
144 143 -387 
628 186 -594 
-217 -505 -286 
-555 -473 -235 
170 426 504 
584 -359 153 
329 501 15 
-286 -202 -280 
-265 150 -466 
127 453 -551 
-366 226 471 
-479 -640 -290 
224 -66 -88 
124 458 541 
-445 348 583 
242 -526 -333 
-165 96 -595 
95 322 -494 
324 -435 -88 
-154 -256 299 
-33 -316 -68 
-187 248 -251 
292 -214 297 
87 -141 -488 
120 -58 -422 
-287 296 -33 
355 583 232 
-380 444 328 
-262 -119 -384 
-551 522 -222 
170 -212 -604 
545 144 -44 
-391 185 -271 
492 409 342 
103 -104 95 
-605 462 -466 
-230 453 -263 
413 -433 369 
510 -61 -73 
626 -183 361 
-106 574 -105 
233 410 -229 
-107 390 -287 
53 282 -316 
281 -614 18 
273 -205 -466 
606 -494 -263 
257 239 -571 
-267 369 125 
-482 42 -452 
577 303 -126 
225 345 163 
134 -456 -172 
275 -578 611 
60 -346 -148 
540 -323 -13 
-82 522 328 
-561 36 -284 
208 395 -85 
-594 18 69 
572 566 603 
195 -86 -623 
630 -511 358 
-188 156 577 
-203 51 62 
-552 234 -416 
348 -85 481 
116 -291 -550 
563 6 -314 
-235 253 436 
542 444 -183 
464 71 -141 
-171 114 -164 
198 -569 -256 
-17 -187 -404 
-235 606 389 
-622 -238 -508 
590 628 -59 
195 -591 225 
342 -636 -380 
510 -456 -391 
-128 -465 -316 
-59 -85 -411 
364 -298 -28 
-162 -63 596 
-47 523 -561 
-356 -288 392 
124 305 282 
-279 -338 -59 
53 627 545 
-598 -61 484 
557 -165 -13 
-191 -199 -287 
358 97 -534 
-28 -589 443 
-22 310 462 
239 362 -64 
443 208 306 
14 -336 -561 
-206 -503 -434 
-457 69 221 
-511 -263 -137 
-384 487 584 
369 497 129 
185 -211 -255 
190 581 408 
-553 -467 221 
382 -509 497 
-473 260 -59 
92 352 355 
-316 545 531 
253 502 450 
371 178 -126 
447 53 -547 
-43 549 -196 
-511 584 350 
69 408 -272 
303 -209 -135 
-123 374 -459 
219 139 -27 
-249 53 -451 
-81 -169 -29 
471 -44 -438 
352 385 -356 
138 -222 -571 
80 379 -569 
-359 99 -229 
-23 210 -52 
355 144 167 
382 42 455 
-598 566 32 
474 -387 524 
-311 597 -571 
-209 -367 601 
-614 557 -589 
-284 269 581 
533 432 186 
364 -146 -206 
-230 215 -61 
-356 -323 -536 
-118 -376 -614 
630 -202 -105 
-435 396 72 
502 -578 306 
-136 -158 573 
620 -152 -46 
348 297 62 
601 324 -104 
-509 281 219 
-183 600 617 
-552 460 -356 
481 -578 -272 
-422 -119 -231 
150 10 362 
-75 -135 -336 
410 -172 10 
-320 -104 38 
-106 -560 443 
-17 76 574 
-222 227 -130 
-238 -73 -314 
519 610 626 
218 430 -28 
-394 590 253 
573 447 -188 
403 563 401 
-176 78 160 
-553 -45 116 
-279 439 -50 
318 -169 -237 
325 322 577 
310 455 373 
259 307 -291 
-529 335 49 
601 365 -472 
-106 -46 350 
498 72 184 
-212 603 -211 
-592 74 190 
96 258 502 
344 -381 342 
-380 446 -192 
-555 200 -404 
175 -270 -50 
533 -407 611 
-59 245 510 
-267 -115 611 
-1 -363 -77 
30 296 -75 
-592 -438 -223 
175 -585 150 
201 379 -491 
471 -183 16 
167 -635 -440 
566 10 -73 
573 -386 -26 
-489 273 15 
243 -330 -222 
-421 610 408 
626 -473 -394 
413 -635 602 
513 -629 -26 
-384 -467 -489 
396 117 -284 
-55 -23 -21 
583 -17 296 
618 502 100 
-22 341 259 
618 -265 -157 
242 611 122 
-52 -440 -183 
-23 577 -376 
348 -555 -128 
-427 -209 -515 
-293 182 513 
-249 517 -146 
328 -347 198 
522 -17 4 
91 -438 446 
-536 175 -289 
361 543 517 
245 577 -569 
527 610 -265 
281 210 -632 
-67 476 -424 
-616 -141 208 
297 442 626 
-438 -280 353 
-567 -82 -81 
450 557 -146 
150 95 -438 
79 -107 -494 
-376 543 436 
-320 259 41 
-21 600 5 
305 303 -438 
-559 510 388 
-553 388 502 
112 -604 -189 
-427 611 -638 
215 -231 -298 
-61 -106 -189 
142 48 -456 
78 -546 190 
-46 -337 261 
218 184 -75 
91 -157 -285 
269 -140 14 
-171 596 114 
513 243 -179 
-194 -490 297 
325 5 147 
-624 41 -278 
521 -552 -168 
533 369 9 
-386 259 426 
-267 582 -387 
-555 25 71 
396 -212 419 
92 307 -516 
-420 393 42 
163 184 600 
-256 419 630 
-547 -569 87 
-625 -131 -141 
269 583 -456 
307 14 224 
460 76 -399 
144 80 62 
631 -564 545 
602 -428 78 
-488 -594 -294 
-34 -115 506 
91 545 -320 
350 -55 -356 
-440 602 -394 
-538 -235 527 
-151 296 276 
304 455 -431 
390 -366 60 
310 -637 523 
-411 -244 264 
492 -191 -94 
606 117 458 
-494 259 72 
92 74 259 
91 335 -237 
111 398 355 
-612 124 -238 
-640 114 143 
-534 -537 -609 
-623 557 -555 
7 -266 -595 
-435 -515 41 
112 327 342 
-420 98 -271 
-212 443 258 
-370 24 -68 
53 -244 480 
-404 450 -199 
630 329 539 
-633 275 541 
374 461 8 
401 -511 185 
-569 227 -59 
492 116 -240 
-346 460 -3 
501 418 -330 
-622 296 -47 
-623 319 588 
-338 -536 -612 
-115 419 -340 
53 -570 98 
-415 127 60 
554 53 -251 
-293 305 -255 
-495 317 593 
439 600 6 
-638 -19 611 
462 110 15 
517 138 -50 
377 120 -222 
587 -330 -236 
-308 -386 -452 
484 -162 -123 
-262 542 -214 
208 418 -336 
241 498 539 
62 -337 321 
-616 351 -250 
574 -121 -309 
-26 198 483 
-340 -586 450 
219 -28 30 
321 -609 483 
-479 -107 383 
480 109 -58 
243 -148 220 
-300 502 -88 
307 -286 377 
-528 -255 444 
257 197 -633 
-67 -599 -188 
2 261 -380 
630 -22 -66 
-559 132 -490 
-356 355 -494 
149 392 523 
-394 220 458 
225 430 -293 
-475 -66 101 
601 -614 99 
-591 541 4 
558 -624 -433 
535 485 -347 
-333 142 253 
-559 -146 474 
138 395 -490 
295 -267 -411 
-433 208 -316 
-330 -337 351 
-387 226 -108 
295 80 341 
144 575 10 
-75 -313 -479 
60 608 533 
7 32 -544 
-287 419 -454 
-84 565 -240 
-595 -39 -1 
344 -636 -534 
-311 210 -86 
-512 -594 -140 
134 11 602 
-337 -440 -26 
-488 -131 282 
103 258 -412 
-475 -128 74 
-569 480 470 
355 -529 -123 
-75 493 -17 
329 -515 453 
469 425 449 
-456 219 -135 
-420 102 543 
513 92 469 
-287 -267 96 
468 318 -561 
355 277 -503 
-552 125 603 
225 -262 261 
353 -81 409 
487 9 328 
-399 402 -629 
-340 62 -562 
449 -562 364 
-592 120 409 
-412 74 110 
-472 259 14 
626 246 -589 
554 -472 -146 
-293 -576 574 
634 583 -547 
4 -94 565 
277 -300 11 
530 -66 339 
51 322 501 
-244 458 260 
274 -456 461 
274 -1 -534 
163 -404 -58 
-199 501 178 
-482 132 -623 
474 425 -515 
385 16 -494 
53 7 198 
-346 -551 -313 
-633 -486 2 
76 -637 -547 
-229 383 493 
-465 -29 383 
402 -280 -571 
397 493 392 
-349 618 -119 
318 98 304 
-495 374 303 
574 -256 583 
-294 138 -59 
-467 112 -427 
-473 312 545 
348 408 178 
-526 24 -316 
186 -599 219 
344 -136 502 
-115 334 -207 
596 -58 159 
606 469 -194 
620 111 -311 
-263 42 627 
60 -505 566 
354 504 -367 
443 449 405 
-168 318 252 
521 358 -429 
-467 -571 566 
-445 -31 587 
228 -59 425 
487 -332 2 
617 281 401 
-479 -202 178 
159 -115 -384 
334 -249 493 
-176 -347 220 
-251 577 -270 
527 204 144 
234 442 -421 
345 326 -70 
-412 -165 -491 
198 245 406 
-263 414 -174 
389 -34 122 
-270 215 535 
304 -183 149 
-300 464 432 
-115 224 627 
-415 -595 246 
-21 -424 -605 
453 -154 639 
-332 -609 150 
492 -337 101 
312 351 246 
426 -555 125 
617 -3 -629 
10 -621 541 
-119 327 342 
-249 -544 -624 
-1 -237 -65 
-68 373 418 
134 303 -534 
30 -104 219 
242 535 197 
617 -217 -559 
502 -85 -88 
-638 103 -448 
388 -158 389 
439 -67 364 
-237 388 -278 
469 602 139 
117 590 95 
124 -192 234 
590 521 -154 
-164 -187 -387 
535 -356 -637 
369 4 264 
369 -370 -340 
-293 -255 543 
-130 62 134 
248 -146 -267 
593 325 -44 
487 439 305 
117 -284 -266 
-438 170 -512 
-551 -247 210 
-212 471 -625 
639 -551 -59 
-193 -632 41 
-459 -368 341 
-479 -181 30 
-637 -191 442 
-176 197 -115 
514 580 87 
398 -516 469 
-188 292 502 
389 195 -191 
601 -23 167 
-126 -552 -407 
549 353 343 
-536 -340 310 
483 -179 190 
200 -107 167 
14 464 557 
-473 -560 221 
51 32 -391 
-180 120 133 
197 530 178 
91 -516 -294 
-166 304 264 
226 518 513 
139 -578 634 
587 395 470 
-194 257 -192 
-19 11 471 
611 -104 -43 
358 523 327 
-509 -28 -250 
-546 71 142 
-546 -244 -39 
227 328 -302 
8 -438 -423 
257 354 -230 
611 -286 -420 
-422 542 -23 
-411 545 450 
134 248 507 
-420 -13 102 
360 -181 -309 
-55 49 543 
-151 -615 159 
-589 -189 339 
-560 587 92 
-550 -119 577 
138 -578 97 
557 -137 -294 
-205 -314 101 
-205 254 -172 
210 -337 575 
453 38 403 
80 -280 76 
124 618 -438 
15 153 12 
257 232 -65 
-176 354 318 
109 -440 396 
-65 -291 -591 
-508 -180 618 
-1 127 518 
-635 241 461 
74 232 339 
-3 414 523 
102 239 71 
232 25 -140 
-196 513 36 
627 -244 307 
-435 -104 450 
-308 90 588 
